Model,Accuracy,Precision,Recall,F1,AUC
LinearSVC,0.9802690582959641,0.9847328244274809,0.8657718120805369,0.9214285714285714,0.9885711506662775
LogReg,0.9704035874439462,1.0,0.7785234899328859,0.8754716981132076,0.9857295704975891
MultinomialNB,0.9704035874439462,1.0,0.7785234899328859,0.8754716981132076,0.9875984826378758
